Dates,Close
24/04/2003,25.49
25/04/2003,25.21
28/04/2003,25.74
29/04/2003,25.81
30/04/2003,25.56
01/05/2003,25.71
02/05/2003,26.13
05/05/2003,25.86
06/05/2003,26.38
07/05/2003,25.99
08/05/2003,25.75
09/05/2003,26.35
12/05/2003,26.21
13/05/2003,25.99
14/05/2003,25.63
15/05/2003,25.79
16/05/2003,25.57
19/05/2003,24.8
20/05/2003,24.63
21/05/2003,24.03
22/05/2003,24.16
23/05/2003,24.22
27/05/2003,24.79
28/05/2003,24.41
29/05/2003,24.4
30/05/2003,24.61
02/06/2003,24.64
03/06/2003,24.88
04/06/2003,24.87
05/06/2003,24.09
06/06/2003,23.67
09/06/2003,23.75
10/06/2003,24.68
11/06/2003,24.88
12/06/2003,24.99
13/06/2003,24.65
16/06/2003,25.39
17/06/2003,25.96
18/06/2003,26.07
19/06/2003,26.07
20/06/2003,26.33
23/06/2003,25.78
24/06/2003,25.7
25/06/2003,25.26
26/06/2003,25.75
27/06/2003,25.63
30/06/2003,25.64
01/07/2003,26.15
02/07/2003,26.88
03/07/2003,26.5
07/07/2003,27.42
08/07/2003,27.7
09/07/2003,27.47
10/07/2003,26.91
11/07/2003,27.31
14/07/2003,27.4
15/07/2003,27.27
16/07/2003,27.52
17/07/2003,26.69
18/07/2003,26.89
21/07/2003,26.04
22/07/2003,26.38
23/07/2003,26.45
24/07/2003,26
25/07/2003,26.89
28/07/2003,26.61
29/07/2003,26.47
30/07/2003,26.23
31/07/2003,26.41
01/08/2003,26.17
04/08/2003,26.18
05/08/2003,25.66
06/08/2003,25.65
07/08/2003,25.71
08/08/2003,25.58
11/08/2003,25.61
12/08/2003,25.73
13/08/2003,25.6
14/08/2003,25.63
15/08/2003,25.54
18/08/2003,25.7
19/08/2003,26.62
20/08/2003,26.45
21/08/2003,26.24
22/08/2003,26.22
25/08/2003,26.5
26/08/2003,26.57
27/08/2003,26.42
28/08/2003,26.51
29/08/2003,26.52
02/09/2003,27.26
03/09/2003,28.3
04/09/2003,28.43
05/09/2003,28.38
08/09/2003,28.84
09/09/2003,28.37
10/09/2003,27.55
11/09/2003,27.84
12/09/2003,28.34
15/09/2003,28.36
16/09/2003,28.9
17/09/2003,28.5
18/09/2003,29.5
19/09/2003,29.96
22/09/2003,29.07
23/09/2003,29.6
24/09/2003,28.46
25/09/2003,28.24
26/09/2003,28.19
29/09/2003,28.83
30/09/2003,27.8
01/10/2003,28.52
02/10/2003,28.5
03/10/2003,29.08
06/10/2003,29.19
07/10/2003,29.14
08/10/2003,28.82
09/10/2003,28.94
10/10/2003,28.91
13/10/2003,28.78
14/10/2003,28.68
15/10/2003,29.07
16/10/2003,29.23
17/10/2003,28.93
20/10/2003,29.35
21/10/2003,29.35
22/10/2003,28.89
23/10/2003,28.91
24/10/2003,26.61
27/10/2003,26.91
28/10/2003,27.2
29/10/2003,26.74
30/10/2003,26.12
31/10/2003,26.14
03/11/2003,26.68
04/11/2003,26.07
05/11/2003,26.1
06/11/2003,26.23
07/11/2003,26.1
10/11/2003,26
11/11/2003,25.8
12/11/2003,25.98
13/11/2003,25.69
14/11/2003,25.5
17/11/2003,25.15
18/11/2003,25.15
19/11/2003,25.35
20/11/2003,25.1
21/11/2003,25.11
24/11/2003,25.73
25/11/2003,25.4
26/11/2003,25.45
28/11/2003,25.71
01/12/2003,25.84
02/12/2003,25.66
03/12/2003,25.67
04/12/2003,26.2
05/12/2003,25.98
08/12/2003,26.24
09/12/2003,26.38
10/12/2003,26.59
11/12/2003,26.61
12/12/2003,26.65
15/12/2003,26.74
16/12/2003,27.06
17/12/2003,27.04
18/12/2003,27.4
19/12/2003,27.36
22/12/2003,27.18
23/12/2003,27.15
24/12/2003,27.04
26/12/2003,27.21
29/12/2003,27.46
30/12/2003,27.52
31/12/2003,27.37
02/01/2004,27.45
05/01/2004,28.14
06/01/2004,28.24
07/01/2004,28.21
08/01/2004,28.16
09/01/2004,27.66
12/01/2004,27.57
13/01/2004,27.43
14/01/2004,27.7
15/01/2004,27.54
16/01/2004,27.81
20/01/2004,28.1
21/01/2004,28.3
22/01/2004,28.01
23/01/2004,28.48
26/01/2004,28.8
27/01/2004,28.25
28/01/2004,27.71
29/01/2004,27.91
30/01/2004,27.65
02/02/2004,27.4
03/02/2004,27.29
04/02/2004,27.01
05/02/2004,26.96
06/02/2004,27.08
09/02/2004,26.9
10/02/2004,27.02
11/02/2004,27.15
12/02/2004,26.95
13/02/2004,26.59
17/02/2004,26.99
18/02/2004,26.77
19/02/2004,26.46
20/02/2004,26.57
23/02/2004,26.61
24/02/2004,26.88
25/02/2004,26.7
26/02/2004,26.5
27/02/2004,26.53
01/03/2004,26.7
02/03/2004,26.39
03/03/2004,26.37
04/03/2004,26.37
05/03/2004,26.35
08/03/2004,25.83
09/03/2004,25.72
10/03/2004,25.37
11/03/2004,25.09
12/03/2004,25.38
15/03/2004,25.16
16/03/2004,25.18
17/03/2004,25.13
18/03/2004,24.89
19/03/2004,24.63
22/03/2004,24.5
23/03/2004,24.15
24/03/2004,24.41
25/03/2004,25.19
26/03/2004,25.03
29/03/2004,25.31
30/03/2004,25.2
31/03/2004,24.93
01/04/2004,25.08
02/04/2004,25.85
05/04/2004,25.95
06/04/2004,25.8
